post_id,comment_text,comment_date,comment_user_id
166345,Он молчит- рот занят значит)),2025-03-13 23:09:07+00:00,5194756936.0
166345,"А ти чого, до речі, досі тут?
Давно вже маєш приймати в ротика пісюни місцевої бомж-еліти😉
Чи ти сьогодні в жопку працюєш?😏",2025-03-13 23:07:57+00:00,434938994.0
166345,"Смотри пидаренышь,как вашего депутатика, тигруля ням ням сделал😁😁😁",2025-03-13 23:05:11+00:00,561809988.0
166345,"Вилизуй жопку, сьогодні будеш мати гарячі подарунки від ЗСУ😂👌",2025-03-13 23:05:05+00:00,434938994.0
166345,Ну це МОЩЬНО 😂,2025-03-13 23:05:01+00:00,7670634748.0
166345,россиянские игрушки)),2025-03-13 23:04:30+00:00,5194756936.0
166345,@kyivoperative1,2025-03-13 23:04:13+00:00,511329190.0
166345,😂😂😂😂😂що за треш пішов ?,2025-03-13 23:04:10+00:00,7670634748.0
166345,"Не плачь, маленький",2025-03-13 23:03:44+00:00,5194756936.0
166345,Въеби говна и жди добрые дроны. Дурында блять😂,2025-03-13 23:03:31+00:00,362374994.0
166345,Вони полетять тобі в єбало 😁,2025-03-13 23:02:55+00:00,511329190.0
166345,Хуца сосни)))и выпей мышьяка😁,2025-03-13 23:02:34+00:00,561809988.0
166345,"ебаные недолюди, выпью бокал шампанского 🥂 за то чтобы вас разьебали ВВС РФ всеми видами ракет сегодня😂",2025-03-13 23:02:07+00:00,731074467.0
166345,"Считаю,твоя мамка сосет лучше чем твой папка))",2025-03-13 23:00:24+00:00,561809988.0
166345,"Хуй будешь, кацап?",2025-03-13 22:59:47+00:00,5194756936.0
166345,"Поддерживаю, считаю нужно воевать до последнего хохла, убить всех каждую хохляцкую тварь",2025-03-13 22:58:46+00:00,731074467.0
166345,"Хто може підписати петицію, підпишіть будь ласка 243390",2025-03-13 20:23:54+00:00,898244648.0
166345,Понятно Влад,2025-03-13 20:06:19+00:00,7137590211.0
166345,"Я, як Влад, єбу як це вирішувати. І навіть всі Влади України не факт, шо це порєшають",2025-03-13 20:05:56+00:00,1835959729.0
166345,Наша влада і так цим займається,2025-03-13 20:03:58+00:00,601615430.0
166345,"Не знаю Володимир Олександрович, але всі країни можуть допомогти завершити війну, але мені здається, що потрібно не від них чекати відповідей, рішення, схвалення та похвали, а саме нашій владі займатись вирішинням питання миру....",2025-03-13 20:02:22+00:00,7137590211.0
166345,Мабуть скоріше в Європи і США закінчиться все ніж в раші,2025-03-13 19:57:12+00:00,581024400.0
166345,Чому ж вони досі атакують нас? Кожен день,2025-03-13 19:55:20+00:00,5063654605.0
166345,в русні нічим воювати вони не мають людей танків і літаків,2025-03-13 19:51:44+00:00,1779647907.0
166345,правільно всіх росіян забити ногами,2025-03-13 19:51:06+00:00,7366414641.0
166344,Добре шо хоч не на передній,2025-03-15 08:28:58+00:00,5177936622.0
166344,"Хуй на них, наоборот не будут плодиться, чем меньше долбоёбов тем лучше",2025-03-14 14:58:03+00:00,613247178.0
166344,а як вони мають згоріти? не на даху ж їдуть?,2025-03-14 09:48:32+00:00,362909149.0
166344,Наче цю інформацію спростовують🙏,2025-03-14 09:15:25+00:00,425243267.0
166344,Вчора. Так.,2025-03-14 08:57:14+00:00,425243267.0
166344,"Это не дурни, это будущее Украины ☝️Больше уважения к будущему страны 😁",2025-03-14 08:54:57+00:00,837299251.0
166344,Це той якого сьогодні тушили??,2025-03-14 08:35:15+00:00,537198773.0
166344,"Так це різний рівень небезпеки)
Хоча я подібного ніколи не чудив,в 90-ті і без цього розваг для нас вистачало😆",2025-03-14 08:34:08+00:00,537198773.0
166344,"**Ввечері помер зацепер Темний Назар. **

Отримав розряд ~25000В під час чергового зацепу. Випалило органи всередині та втратив багато крові. Під час того отримав опік 3-ьої степені та переломи рук з ногами під час того як падав з міжвагонки. 

Пам'ятайте, що правила написані кров'ю, та будь-який зацеп може стати для вас останнім у житті. Йому було 12 років.",2025-03-14 04:42:35+00:00,425243267.0
166344,Помер,2025-03-14 04:41:36+00:00,425243267.0
166344,Вже ні,2025-03-14 04:41:24+00:00,425243267.0
166344,у Талліні безкоштовно,2025-03-13 22:24:47+00:00,1927079285.0
166344,"6.50, якщо оптом",2025-03-13 22:23:46+00:00,1927079285.0
166344,Ага- старушки с кравчучками прицепом,2025-03-13 21:59:23+00:00,5194756936.0
166344,"Іще знову підніміть ціну на проїзд, і не дивуйтеся шо там будуть чіплятися і пенсіонери..",2025-03-13 21:58:58+00:00,6726632725.0
166344,Куда на операцію скинути?,2025-03-13 21:45:42+00:00,1067226419.0
166344,"Може, максималістам дозволити добровільну мобілізацію з 12 🤔
Однак життя дарма втрачають 🤷🏻‍♂️",2025-03-13 21:23:35+00:00,534738498.0
166344,"Єбанати,нехай подивляться відео сьогоднішнього екстремала",2025-03-13 21:12:35+00:00,697959456.0
166344,"Той живий, якщо що",2025-03-13 20:55:57+00:00,5347294766.0
